Gene,t-scores,p-values,FDR-adjusted p-values,q-values,BH FDR-adjusted p-values
FOS,1.193,0.30066,1,0.99501,0.9984
ZNF440,1.1923,0.3009,1,0.99501,0.9984
TSPAN2,-1.192,0.30102,1,0.99501,0.9984
MACROD1,-1.192,0.30103,1,0.99501,0.9984
NPEPL1,-1.1918,0.30109,1,0.99501,0.9984
SZRD1,1.1918,0.3011,1,0.99501,0.9984
GANC,-1.1917,0.30113,1,0.99501,0.9984
ARL2BP,1.1914,0.30125,1,0.99501,0.9984
GSR,-1.1914,0.30125,1,0.99501,0.9984
TMEM167B,1.1909,0.30142,1,0.99501,0.9984
CLVS1,1.1904,0.30159,1,0.99501,0.9984
PDIA4,1.1896,0.30188,1,0.99501,0.9984
FGF17,-1.1895,0.3019,1,0.99501,0.9984
PEX10,1.1889,0.30214,1,0.99501,0.9984
GPD2,-1.1884,0.30231,1,0.99501,0.9984
MRPL55,1.1881,0.30242,1,0.99501,0.9984
PIK3R2,-1.1872,0.30277,1,0.99501,0.9984
PTTG1IP,1.187,0.30283,1,0.99501,0.9984
CTBP2,1.1868,0.30288,1,0.99501,0.9984
DBIL5P,1.1867,0.30293,1,0.99501,0.9984
TIPARP,1.1867,0.30293,1,0.99501,0.9984
CLIP2,-1.1865,0.30298,1,0.99501,0.9984
ATP6V0E1,1.1865,0.30298,1,0.99501,0.9984
PPP6R1,-1.1864,0.30302,1,0.99501,0.9984
SYNJ2,1.1857,0.30322,1,0.99501,0.9984
SOBP,-1.1857,0.30322,1,0.99501,0.9984
WIPF2,1.1855,0.30328,1,0.99501,0.9984
NCAPG,1.1855,0.30328,1,0.99501,0.9984
CYP2U1,-1.1853,0.30333,1,0.99501,0.9984
CETN2,-1.1852,0.30336,1,0.99501,0.9984
RRNAD1,1.1849,0.30343,1,0.99501,0.9984
DENND3,-1.1836,0.30379,1,0.99501,0.9984
VPS39,-1.183,0.30398,1,0.99501,0.9984
WDR13,-1.1827,0.30406,1,0.99501,0.9984
FAM163A,-1.1825,0.30411,1,0.99501,0.9984
ADRA2A,1.1822,0.30422,1,0.99501,0.9984
PRKAA2,-1.1818,0.30431,1,0.99501,0.9984
C14orf1,-1.1812,0.30451,1,0.99501,0.9984
MAPRE2,1.18,0.3049,1,0.99501,0.9984
SLC44A1,1.1797,0.30499,1,0.99501,0.9984
SLC43A2,1.1796,0.30502,1,0.99501,0.9984
CAMK4,-1.1795,0.30506,1,0.99501,0.9984
TBC1D9,-1.1794,0.30509,1,0.99501,0.9984
CNGB1,-1.179,0.30524,1,0.99501,0.9984
FAM133A,1.1788,0.3053,1,0.99501,0.9984
PCID2,-1.1785,0.30542,1,0.99501,0.9984
IER5L,1.1785,0.30543,1,0.99501,0.9984
SMYD4,1.1774,0.30578,1,0.99501,0.9984
AKR1A1,1.1772,0.30587,1,0.99501,0.9984
NSFP1,-1.177,0.30593,1,0.99501,0.9984
ERMAP,1.1768,0.30597,1,0.99501,0.9984
ATPAF2,-1.1767,0.306,1,0.99501,0.9984
MTMR2,-1.1758,0.30625,1,0.99501,0.9984
ASB6,-1.1753,0.30642,1,0.99501,0.9984
RSBN1L,-1.1752,0.30644,1,0.99501,0.9984
PARN,1.1746,0.30663,1,0.99501,0.9984
RNF180,1.1745,0.30665,1,0.99501,0.9984
H3F3B,1.1745,0.30666,1,0.99501,0.9984
AFF2,-1.1743,0.30672,1,0.99501,0.9984
RPL12,1.1743,0.30673,1,0.99501,0.9984
OSBPL11,-1.1742,0.30675,1,0.99501,0.9984
UPF2,1.1741,0.30678,1,0.99501,0.9984
ZNF43,-1.1739,0.30685,1,0.99501,0.9984
MED13L,-1.1734,0.30702,1,0.99501,0.9984
EIF4B,-1.1732,0.3071,1,0.99501,0.9984
THSD7B,1.1727,0.30726,1,0.99501,0.9984
CABLES1,-1.1725,0.30732,1,0.99501,0.9984
CDC25A,-1.1725,0.30732,1,0.99501,0.9984
ANKFY1,1.1725,0.30734,1,0.99501,0.9984
MBD3,1.1723,0.30739,1,0.99501,0.9984
PPP1R18,1.1723,0.30742,1,0.99501,0.9984
MAP7,1.1712,0.3078,1,0.99501,0.9984
VAMP8,1.1708,0.30792,1,0.99501,0.9984
ERCC4,-1.1699,0.30823,1,0.99501,0.9984
TRIM67,-1.1697,0.3083,1,0.99501,0.9984
CCT2,1.1696,0.30834,1,0.99501,0.9984
SNHG6,1.1695,0.30835,1,0.99501,0.9984
LIN9,-1.1693,0.30844,1,0.99501,0.9984
PKIA,1.1692,0.30848,1,0.99501,0.9984
SULF1,1.169,0.30855,1,0.99501,0.9984
TRMT11,-1.1689,0.30858,1,0.99501,0.9984
POLN,-1.1688,0.3086,1,0.99501,0.9984
KLHL35,-1.1688,0.3086,1,0.99501,0.9984
PBXIP1,1.1687,0.30863,1,0.99501,0.9984
MAU2,1.1687,0.30864,1,0.99501,0.9984
RPS27L,-1.1677,0.30897,1,0.99501,0.9984
TCN2,1.1677,0.309,1,0.99501,0.9984
RPL13A,1.1669,0.30926,1,0.99501,0.9984
DRG1,-1.1663,0.30946,1,0.99501,0.9984
AAGAB,1.1659,0.30962,1,0.99501,0.9984
UBAC2,1.1658,0.30966,1,0.99501,0.9984
OXR1,1.1654,0.30979,1,0.99501,0.9984
FXN,-1.165,0.30993,1,0.99501,0.9984
UBQLN1,1.165,0.30994,1,0.99501,0.9984
DNAJC25,-1.1649,0.30996,1,0.99501,0.9984
CLN3,1.1645,0.31011,1,0.99501,0.9984
CHD3,-1.1643,0.31018,1,0.99501,0.9984
HARBI1,1.1641,0.31026,1,0.99501,0.9984
GTF2IRD2B,-1.164,0.31028,1,0.99501,0.9984
CRNKL1,1.1634,0.31049,1,0.99501,0.9984
C7orf49,1.1625,0.31079,1,0.99501,0.9984
CCDC174,1.1624,0.31082,1,0.99501,0.9984
C2orf43,1.1624,0.31083,1,0.99501,0.9984
SPIN2B,1.1619,0.31099,1,0.99501,0.9984
SNORA74B,-1.1618,0.31103,1,0.99501,0.9984
NUP205,1.1616,0.3111,1,0.99501,0.9984
ZSCAN23,1.161,0.31129,1,0.99501,0.9984
MBTPS1,1.1609,0.31131,1,0.99501,0.9984
BZW1,1.1605,0.31144,1,0.99501,0.9984
MAML3,1.1593,0.31187,1,0.99501,0.9984
SFMBT1,1.1588,0.31203,1,0.99501,0.9984
KIN,1.1582,0.31222,1,0.99501,0.9984
RNF121,1.1581,0.31226,1,0.99501,0.9984
ACTR10,-1.1575,0.31247,1,0.99501,0.9984
GRPEL1,1.1572,0.31259,1,0.99501,0.9984
CCDC28B,1.1569,0.31267,1,0.99501,0.9984
CLIC1,1.1566,0.31282,1,0.99501,0.9984
CRELD2,-1.1565,0.31283,1,0.99501,0.9984
FKBP8,1.1565,0.31285,1,0.99501,0.9984
FAM19A5,-1.1564,0.31286,1,0.99501,0.9984
TCP11L2,1.1564,0.31287,1,0.99501,0.9984
LEPREL4,-1.1564,0.31288,1,0.99501,0.9984
CHP1,-1.1563,0.3129,1,0.99501,0.9984
NAT9,1.156,0.31303,1,0.99501,0.9984
FBXW12,-1.1559,0.31306,1,0.99501,0.9984
ADAM15,1.1558,0.31308,1,0.99501,0.9984
LMAN1,1.1554,0.31326,1,0.99501,0.9984
THOC5,-1.1549,0.31342,1,0.99501,0.9984
CMPK1,1.1548,0.31349,1,0.99501,0.9984
PBX1,1.1547,0.3135,1,0.99501,0.9984
JMJD6,-1.1547,0.31352,1,0.99501,0.9984
TAF8,1.1546,0.31354,1,0.99501,0.9984
ZDHHC13,1.1546,0.31356,1,0.99501,0.9984
NR1D1,-1.1541,0.31373,1,0.99501,0.9984
ELL2,1.1537,0.31391,1,0.99501,0.9984
TBC1D30,-1.1531,0.31414,1,0.99501,0.9984
LOC100272217,-1.1526,0.31428,1,0.99501,0.9984
HIST2H2AC,1.1525,0.31432,1,0.99501,0.9984
DTWD1,1.1515,0.31471,1,0.99501,0.9984
APBA1,-1.1507,0.31499,1,0.99501,0.9984
LHPP,-1.1505,0.31506,1,0.99501,0.9984
STARD5,-1.1504,0.3151,1,0.99501,0.9984
PDDC1,-1.1501,0.31522,1,0.99501,0.9984
TACC1,-1.1497,0.31539,1,0.99501,0.9984
PLIN3,1.1497,0.31541,1,0.99501,0.9984
GPR64,-1.1495,0.31546,1,0.99501,0.9984
DHRS2,-1.1495,0.31547,1,0.99501,0.9984
PMS2P1,-1.1491,0.31565,1,0.99501,0.9984
DQX1,-1.1489,0.31571,1,0.99501,0.9984
FAM5B,1.1482,0.31599,1,0.99501,0.9984
PDCD11,-1.1482,0.31601,1,0.99501,0.9984
HCFC2,-1.1476,0.31622,1,0.99501,0.9984
BCOR,-1.1476,0.31624,1,0.99501,0.9984
CCDC137,-1.1472,0.31639,1,0.99501,0.9984
OAZ1,1.1468,0.31649,1,0.99501,0.9984
USP47,-1.1461,0.31673,1,0.99501,0.9984
CCS,1.1455,0.31692,1,0.99501,0.9984
RPL23A,1.1453,0.31696,1,0.99501,0.9984
SCARNA17,-1.1453,0.31696,1,0.99501,0.9984
LOC282997,1.1453,0.31698,1,0.99501,0.9984
LIMCH1,-1.1446,0.3172,1,0.99501,0.9984
NKX6-1,1.144,0.31739,1,0.99501,0.9984
MUC1,-1.1435,0.31753,1,0.99501,0.9984
ZNF181,-1.143,0.31769,1,0.99501,0.9984
TIFA,1.1428,0.31777,1,0.99501,0.9984
ETV3,-1.1427,0.31778,1,0.99501,0.9984
DPP4,1.1427,0.3178,1,0.99501,0.9984
MRPL44,-1.1422,0.31797,1,0.99501,0.9984
SCARNA16,-1.1414,0.31823,1,0.99501,0.9984
SDC3,1.1412,0.3183,1,0.99501,0.9984
ULK2,1.1411,0.31833,1,0.99501,0.9984
CCDC8,1.1411,0.31835,1,0.99501,0.9984
DNER,-1.1411,0.31836,1,0.99501,0.9984
SLC29A1,-1.1409,0.31842,1,0.99501,0.9984
RBX1,1.1407,0.31851,1,0.99501,0.9984
FUT4,1.1401,0.31873,1,0.99501,0.9984
AIG1,-1.1399,0.31879,1,0.99501,0.9984
DDB1,-1.1397,0.31888,1,0.99501,0.9984
CCDC59,1.1397,0.3189,1,0.99501,0.9984
PNO1,-1.1391,0.31911,1,0.99501,0.9984
ICT1,1.139,0.31917,1,0.99501,0.9984
SCARNA9,-1.1386,0.31929,1,0.99501,0.9984
EPB41L4A,-1.1385,0.31934,1,0.99501,0.9984
SLC35B2,1.1381,0.31949,1,0.99501,0.9984
PSMA5,1.138,0.31953,1,0.99501,0.9984
DLGAP3,-1.137,0.31988,1,0.99501,0.9984
MRPS22,1.1369,0.31993,1,0.99501,0.9984
FMR1,-1.1363,0.32013,1,0.99501,0.9984
UBP1,1.1362,0.32017,1,0.99501,0.9984
SWI5,1.136,0.32023,1,0.99501,0.9984
DCXR,-1.136,0.32023,1,0.99501,0.9984
LIMK1,-1.1358,0.32031,1,0.99501,0.9984
PROM1,1.1358,0.32031,1,0.99501,0.9984
CYP4X1,-1.1356,0.32039,1,0.99501,0.9984
TFE3,1.1356,0.32039,1,0.99501,0.9984
IP6K2,1.1346,0.32074,1,0.99501,0.9984
POLR2M,1.1346,0.32076,1,0.99501,0.9984
DIEXF,1.1345,0.32081,1,0.99501,0.9984
CNDP2,1.1343,0.32087,1,0.99501,0.9984
ZC2HC1B,-1.1343,0.32088,1,0.99501,0.9984
B3GALNT2,-1.1342,0.32089,1,0.99501,0.9984
GORASP1,1.134,0.32097,1,0.99501,0.9984
CYP2R1,-1.1339,0.321,1,0.99501,0.9984
TACC3,1.1339,0.32102,1,0.99501,0.9984
LRRC37A3,-1.1336,0.32114,1,0.99501,0.9984
PTPRR,-1.1335,0.32116,1,0.99501,0.9984
DDX11-AS1,-1.1335,0.32118,1,0.99501,0.9984
LOC100506990,1.1334,0.32121,1,0.99501,0.9984
FUT10,-1.1334,0.32122,1,0.99501,0.9984
ZMAT2,-1.1333,0.32124,1,0.99501,0.9984
METTL18,-1.1332,0.32128,1,0.99501,0.9984
PRKCG,1.1327,0.32147,1,0.99501,0.9984
SH3GL1,1.1327,0.32148,1,0.99501,0.9984
GBE1,1.1322,0.3217,1,0.99501,0.9984
ZSWIM7,-1.132,0.32177,1,0.99501,0.9984
LEMD1,1.1318,0.32186,1,0.99501,0.9984
BLVRA,1.1316,0.32193,1,0.99501,0.9984
ACTR5,-1.1315,0.32197,1,0.99501,0.9984
TRIM58,1.1308,0.32228,1,0.99501,0.9984
RPL35,1.1308,0.32228,1,0.99501,0.9984
C2CD2L,-1.1305,0.32242,1,0.99501,0.9984
C2orf72,1.1304,0.32248,1,0.99501,0.9984
AEBP2,-1.1301,0.3226,1,0.99501,0.9984
DNAJC4,-1.13,0.32263,1,0.99501,0.9984
STK3,1.1299,0.32267,1,0.99501,0.9984
LOC84989,-1.1294,0.32289,1,0.99501,0.9984
POLR3K,-1.1293,0.32292,1,0.99501,0.9984
CFDP1,-1.1293,0.32295,1,0.99501,0.9984
AIMP1,1.1288,0.32313,1,0.99501,0.9984
ASIC1,-1.1287,0.32316,1,0.99501,0.9984
SEPHS2,1.1281,0.3234,1,0.99501,0.9984
CPE,1.1278,0.32352,1,0.99501,0.9984
WDR45L,-1.1278,0.32352,1,0.99501,0.9984
ZZZ3,-1.1278,0.32354,1,0.99501,0.9984
RAB3A,-1.1269,0.32386,1,0.99501,0.9984
METRNL,-1.1267,0.32394,1,0.99501,0.9984
KCTD8,-1.1267,0.32394,1,0.99501,0.9984
MED29,1.1267,0.32395,1,0.99501,0.9984
MFN1,1.1266,0.32399,1,0.99501,0.9984
TSPAN33,-1.1265,0.32404,1,0.99501,0.9984
WDR45,1.1264,0.32407,1,0.99501,0.9984
DUSP14,1.126,0.32424,1,0.99501,0.9984
GPRC5A,1.1258,0.32431,1,0.99501,0.9984
ANKMY1,-1.1257,0.32434,1,0.99501,0.9984
SNORA30,-1.1254,0.32446,1,0.99501,0.9984
SPHKAP,-1.125,0.32463,1,0.99501,0.9984
RPL13AP20,1.1249,0.32466,1,0.99501,0.9984
WDR81,-1.1247,0.32474,1,0.99501,0.9984
GNG12,1.1243,0.3249,1,0.99501,0.9984
NSRP1,1.1243,0.32493,1,0.99501,0.9984
UGT3A1,-1.1235,0.32524,1,0.99501,0.9984
C17orf103,1.1232,0.32536,1,0.99501,0.9984
FIGN,1.123,0.32543,1,0.99501,0.9984
CCZ1B,1.1228,0.32552,1,0.99501,0.9984
IGF2BP2,1.1226,0.3256,1,0.99501,0.9984
NDUFA6,1.1225,0.32565,1,0.99501,0.9984
TMEM81,-1.1224,0.32568,1,0.99501,0.9984
DOCK6,-1.122,0.32584,1,0.99501,0.9984
STK32B,1.1216,0.32599,1,0.99501,0.9984
OSBPL3,1.1215,0.32606,1,0.99501,0.9984
APEX1,1.1208,0.32631,1,0.99501,0.9984
MIER1,-1.1208,0.32632,1,0.99501,0.9984
CDKN1C,1.1205,0.32644,1,0.99501,0.9984
FRMD8,1.1203,0.3265,1,0.99501,0.9984
RPL39L,-1.1203,0.32653,1,0.99501,0.9984
NEK9,1.1196,0.32678,1,0.99501,0.9984
PCYOX1,1.1195,0.3268,1,0.99501,0.9984
SLMO1,-1.1184,0.32722,1,0.99501,0.9984
PRDM4,1.1183,0.32724,1,0.99501,0.9984
CAPN10,-1.1183,0.32725,1,0.99501,0.9984
NOL11,1.1179,0.32738,1,0.99501,0.9984
ASXL3,1.1175,0.32754,1,0.99501,0.9984
FANCC,-1.1164,0.32793,1,0.99501,0.9984
TSPAN14,1.1164,0.32794,1,0.99501,0.9984
GON4L,-1.1162,0.32799,1,0.99501,0.9984
STAT5A,-1.1162,0.32801,1,0.99501,0.9984
RUNX1T1,1.1158,0.32813,1,0.99501,0.9984
RANBP9,1.1158,0.32814,1,0.99501,0.9984
PPP2R3B,-1.1156,0.32821,1,0.99501,0.9984
PARG,1.1155,0.32825,1,0.99501,0.9984
KTN1,1.1153,0.32831,1,0.99501,0.9984
SLC25A39,-1.1146,0.32858,1,0.99501,0.9984
KIAA0430,1.1144,0.32864,1,0.99501,0.9984
SVOP,-1.114,0.32879,1,0.99501,0.9984
SSH2,-1.1137,0.32891,1,0.99501,0.9984
TMEM181,1.1135,0.32902,1,0.99501,0.9984
TPM4,1.1133,0.32906,1,0.99501,0.9984
FLRT2,1.1132,0.3291,1,0.99501,0.9984
KATNA1,-1.1132,0.32912,1,0.99501,0.9984
POMP,1.113,0.32919,1,0.99501,0.9984
STK33,1.1129,0.32924,1,0.99501,0.9984
ARHGEF3,-1.1127,0.3293,1,0.99501,0.9984
TTLL5,1.1124,0.32943,1,0.99501,0.9984
YIPF1,-1.1123,0.32947,1,0.99501,0.9984
RPL22L1,1.1122,0.32952,1,0.99501,0.9984
IPW,-1.1118,0.32965,1,0.99501,0.9984
SAP30BP,-1.1116,0.32974,1,0.99501,0.9984
EIF1B,-1.1114,0.32981,1,0.99501,0.9984
IGF2R,1.1114,0.32981,1,0.99501,0.9984
ZNF697,-1.1112,0.3299,1,0.99501,0.9984
SMPD2,-1.1112,0.3299,1,0.99501,0.9984
CTNNA2,1.111,0.32996,1,0.99501,0.9984
GAMT,1.1109,0.33003,1,0.99501,0.9984
HAGHL,-1.1104,0.33021,1,0.99501,0.9984
SDK1,1.1099,0.33042,1,0.99501,0.9984
MSX2,1.1099,0.33044,1,0.99501,0.9984
LHFPL5,-1.1098,0.33045,1,0.99501,0.9984
OSBPL8,1.1097,0.33051,1,0.99501,0.9984
ACSF3,-1.1093,0.33068,1,0.99501,0.9984
PIGF,-1.1091,0.33074,1,0.99501,0.9984
PHAX,-1.1089,0.33081,1,0.99501,0.9984
TTC4,-1.1087,0.33091,1,0.99501,0.9984
DEM1,-1.1086,0.33094,1,0.99501,0.9984
LOC100288842,-1.1083,0.33106,1,0.99501,0.9984
LDOC1,-1.1082,0.3311,1,0.99501,0.9984
PLEKHA3,-1.1081,0.33112,1,0.99501,0.9984
CD99L2,-1.1079,0.3312,1,0.99501,0.9984
UTP6,1.1078,0.3312,1,0.99501,0.9984
C17orf76-AS1,-1.1078,0.33121,1,0.99501,0.9984
DHX57,1.1074,0.33134,1,0.99501,0.9984
LIN7C,-1.1073,0.33139,1,0.99501,0.9984
NAPEPLD,-1.1072,0.33142,1,0.99501,0.9984
ZNF554,1.1072,0.33143,1,0.99501,0.9984
ASF1A,1.1066,0.33163,1,0.99501,0.9984
TNFRSF1A,1.1063,0.33173,1,0.99501,0.9984
TTC37,-1.1062,0.33174,1,0.99501,0.9984
UBN2,-1.106,0.33182,1,0.99501,0.9984
SNORA53,-1.1049,0.33222,1,0.99501,0.9984
HACE1,1.1048,0.33224,1,0.99501,0.9984
ZNF490,-1.1044,0.33241,1,0.99501,0.9984
MIR548I1,-1.1044,0.33242,1,0.99501,0.9984
LOC100287042,-1.1043,0.33246,1,0.99501,0.9984
EIF2S1,-1.1041,0.33253,1,0.99501,0.9984
PPP5C,-1.1035,0.33276,1,0.99501,0.9984
PHLPP2,-1.1035,0.33277,1,0.99501,0.9984
TMEM132E,-1.103,0.33298,1,0.99501,0.9984
RUSC1,-1.1029,0.33299,1,0.99501,0.9984
FAF1,1.1025,0.33317,1,0.99501,0.9984
ZNF564,1.1023,0.33324,1,0.99501,0.9984
SMC1A,-1.1022,0.33328,1,0.99501,0.9984
PSMD10,1.1022,0.33329,1,0.99501,0.9984
FBXW9,1.1019,0.33342,1,0.99501,0.9984
C16orf62,1.1017,0.33349,1,0.99501,0.9984
PAWR,1.1016,0.33354,1,0.99501,0.9984
NTHL1,1.1014,0.33359,1,0.99501,0.9984
EP400NL,-1.1011,0.33372,1,0.99501,0.9984
PABPC1L2A,-1.101,0.33377,1,0.99501,0.9984
USP45,-1.1009,0.33379,1,0.99501,0.9984
GSPT1,1.1009,0.33381,1,0.99501,0.9984
THUMPD3,-1.1008,0.33383,1,0.99501,0.9984
CDC42EP3,-1.1008,0.33385,1,0.99501,0.9984
ATP2B3,1.1006,0.33391,1,0.99501,0.9984
ANKRD5,-1.1005,0.33396,1,0.99501,0.9984
LOC728752,1.1004,0.33398,1,0.99501,0.9984
NRG1,-1.0994,0.33441,1,0.99501,0.9984
MDFI,1.0987,0.33471,1,0.99501,0.9984
USP3,1.0985,0.33478,1,0.99501,0.9984
MTCH1,1.0983,0.3349,1,0.99501,0.9984
GTPBP4,1.0982,0.33492,1,0.99501,0.9984
MGST3,-1.097,0.33545,1,0.99501,0.9984
RNF114,1.097,0.33546,1,0.99501,0.9984
UBTD2,1.0967,0.33561,1,0.99501,0.9984
RMST,1.0966,0.33566,1,0.99501,0.9984
MRPS27,-1.0965,0.3357,1,0.99501,0.9984
ELL,-1.0963,0.33576,1,0.99501,0.9984
NUPL1,-1.096,0.33588,1,0.99501,0.9984
RPAP2,1.0953,0.33619,1,0.99501,0.9984
ALK,1.0951,0.33625,1,0.99501,0.9984
DOCK9,1.095,0.33629,1,0.99501,0.9984
KRBA1,-1.095,0.3363,1,0.99501,0.9984
EPHB1,-1.095,0.33632,1,0.99501,0.9984
SNORA10,1.0948,0.3364,1,0.99501,0.9984
VGLL4,1.0945,0.33651,1,0.99501,0.9984
LRPAP1,1.0943,0.33658,1,0.99501,0.9984
EIF5,1.0943,0.3366,1,0.99501,0.9984
SYVN1,1.0941,0.33667,1,0.99501,0.9984
TMEM192,1.0937,0.33683,1,0.99501,0.9984
APH1B,-1.0936,0.33687,1,0.99501,0.9984
ROBO1,1.0932,0.33704,1,0.99501,0.9984
LOC151009,-1.0929,0.33715,1,0.99501,0.9984
PLA2G6,-1.0921,0.33752,1,0.99501,0.9984
ZNF567,-1.092,0.33753,1,0.99501,0.9984
CPLX2,-1.0919,0.33758,1,0.99501,0.9984
IRS1,-1.0911,0.33792,1,0.99501,0.9984
PPP1R11,1.0909,0.33799,1,0.99501,0.9984
EYS,-1.0907,0.33809,1,0.99501,0.9984
ABAT,-1.0906,0.33814,1,0.99501,0.9984
PLAGL2,1.0905,0.33818,1,0.99501,0.9984
DCHS2,-1.0904,0.33823,1,0.99501,0.9984
IRS2,-1.0903,0.33826,1,0.99501,0.9984
KIAA1239,1.0895,0.33857,1,0.99501,0.9984
LRRC45,-1.0894,0.3386,1,0.99501,0.9984
C20orf160,-1.0886,0.33888,1,0.99501,0.9984
MSRB2,-1.0885,0.33892,1,0.99501,0.9984
BCL2L2,-1.088,0.3391,1,0.99501,0.9984
MAST1,-1.088,0.33912,1,0.99501,0.9984
FANCG,1.0877,0.33925,1,0.99501,0.9984
TAF12,-1.0875,0.3393,1,0.99501,0.9984
ZNF382,-1.0873,0.33937,1,0.99501,0.9984
GALNTL2,1.0872,0.33941,1,0.99501,0.9984
KAT6B,1.0871,0.33946,1,0.99501,0.9984
DDX3X,1.0869,0.33954,1,0.99501,0.9984
EXOSC1,1.0869,0.33954,1,0.99501,0.9984
ZNF408,1.0866,0.33968,1,0.99501,0.9984
NUP153,-1.0865,0.33969,1,0.99501,0.9984
IAH1,-1.0865,0.33971,1,0.99501,0.9984
RPL29,1.086,0.33993,1,0.99501,0.9984
DFNB31,-1.0859,0.33996,1,0.99501,0.9984
MTRF1,1.0856,0.34009,1,0.99501,0.9984
CSNK1G1,-1.085,0.34032,1,0.99501,0.9984
BMPER,1.0847,0.34046,1,0.99501,0.9984
NANOG,-1.0842,0.34063,1,0.99501,0.9984
HSPA14,-1.0835,0.3409,1,0.99501,0.9984
SRM,-1.0826,0.34127,1,0.99501,0.9984
BAK1,1.0822,0.34142,1,0.99501,0.9984
SUV39H2,-1.0821,0.34148,1,0.99501,0.9984
VSTM4,-1.0818,0.34157,1,0.99501,0.9984
C11orf58,-1.0816,0.34167,1,0.99501,0.9984
CHRNB2,-1.0816,0.34167,1,0.99501,0.9984
NME1,-1.0815,0.3417,1,0.99501,0.9984
PGF,-1.0811,0.34187,1,0.99501,0.9984
ZNF418,1.0809,0.34193,1,0.99501,0.9984
PLD6,-1.0807,0.34202,1,0.99501,0.9984
EVI5,1.0806,0.34203,1,0.99501,0.9984
SGK494,-1.0803,0.34217,1,0.99501,0.9984
CENPN,-1.0801,0.34223,1,0.99501,0.9984
ARL10,-1.0799,0.3423,1,0.99501,0.9984
NMNAT1,-1.0799,0.34233,1,0.99501,0.9984
SEMA3F,-1.0797,0.34237,1,0.99501,0.9984
MAPK3,-1.0797,0.34238,1,0.99501,0.9984
SYNDIG1,-1.0796,0.34243,1,0.99501,0.9984
SNX9,-1.0793,0.34255,1,0.99501,0.9984
HSF4,-1.0792,0.34258,1,0.99501,0.9984
ERV3-1,1.0791,0.34262,1,0.99501,0.9984
CCPG1,1.0785,0.34287,1,0.99501,0.9984
POLI,-1.0782,0.34298,1,0.99501,0.9984
TMEM214,1.078,0.34309,1,0.99501,0.9984
MTMR7,-1.0778,0.34318,1,0.99501,0.9984
NFS1,-1.0777,0.34321,1,0.99501,0.9984
TMEM99,1.0771,0.34348,1,0.99501,0.9984
NECAP2,1.0767,0.34365,1,0.99501,0.9984
BCL7A,-1.0766,0.3437,1,0.99501,0.9984
SCAPER,-1.0763,0.34385,1,0.99501,0.9984
KLHL23,-1.0761,0.3439,1,0.99501,0.9984
GALNT2,1.0758,0.34405,1,0.99501,0.9984
MAN2A1,1.0752,0.34428,1,0.99501,0.9984
LURAP1,-1.0748,0.34443,1,0.99501,0.9984
COL8A1,1.0747,0.34448,1,0.99501,0.9984
ANP32A,1.0743,0.34462,1,0.99501,0.9984
CDYL2,-1.0743,0.34463,1,0.99501,0.9984
RNF220,1.074,0.34473,1,0.99501,0.9984
FLJ43663,-1.074,0.34473,1,0.99501,0.9984
HIST1H1E,1.0739,0.34475,1,0.99501,0.9984
KLHL9,-1.0737,0.34483,1,0.99501,0.9984
RASSF8,-1.0734,0.34494,1,0.99501,0.9984
KLC2,1.0734,0.34495,1,0.99501,0.9984
COG1,-1.0728,0.34515,1,0.99501,0.9984
SESTD1,1.0727,0.3452,1,0.99501,0.9984
ZMIZ2,1.0726,0.34522,1,0.99501,0.9984
NSUN4,1.0724,0.34532,1,0.99501,0.9984
HMGCR,1.0722,0.34537,1,0.99501,0.9984
CPNE7,-1.0721,0.34542,1,0.99501,0.9984
BRMS1L,1.0715,0.34564,1,0.99501,0.9984
NIPAL3,-1.0713,0.34574,1,0.99501,0.9984
ZNF629,-1.0712,0.34576,1,0.99501,0.9984
CRTC3,-1.071,0.34584,1,0.99501,0.9984
CEP57L1,-1.0707,0.34598,1,0.99501,0.9984
ADAMTS13,-1.0705,0.34603,1,0.99501,0.9984
GRAMD1B,-1.0702,0.34615,1,0.99501,0.9984
ZNF326,-1.0701,0.34619,1,0.99501,0.9984
FAM212B,-1.0687,0.34673,1,0.99501,0.9984
LOC388796,-1.0681,0.34694,1,0.99501,0.9984
PLXDC1,-1.0673,0.3472,1,0.99501,0.9984
LOC100506474,-1.0672,0.34724,1,0.99501,0.9984
CPOX,1.0664,0.34755,1,0.99501,0.9984
SDC2,1.0664,0.34755,1,0.99501,0.9984
MFAP2,1.0662,0.3476,1,0.99501,0.9984
ARID1B,-1.066,0.34769,1,0.99501,0.9984
ONECUT1,-1.0655,0.34788,1,0.99501,0.9984
LOC283731,-1.0646,0.34819,1,0.99501,0.9984
FBXL2,-1.0638,0.3485,1,0.99501,0.9984
METTL15,-1.0638,0.34851,1,0.99501,0.9984
IMMT,-1.0638,0.34852,1,0.99501,0.9984
PHC2,1.0634,0.34864,1,0.99501,0.9984
NAF1,1.0627,0.34891,1,0.99501,0.9984
C1QTNF3,-1.0624,0.34901,1,0.99501,0.9984
P2RX5,-1.0624,0.34902,1,0.99501,0.9984
PANK2,1.0621,0.34915,1,0.99501,0.9984
PCNXL3,-1.0619,0.34923,1,0.99501,0.9984
ZNF134,-1.0615,0.34935,1,0.99501,0.9984
ETNK1,1.0615,0.34936,1,0.99501,0.9984
