Gene,t-scores,p-values,FDR-adjusted p-values,q-values,BH FDR-adjusted p-values
B4GALNT1,0.93062,0.39163,1,0.99956,0.99956
ARHGAP33,0.93043,0.39171,1,0.99956,0.99956
C9orf9,0.93041,0.39172,1,0.99956,0.99956
ACTL6B,0.9304,0.39173,1,0.99956,0.99956
BCDIN3D,-0.93035,0.39175,1,0.99956,0.99956
GINS2,0.93031,0.39177,1,0.99956,0.99956
USP54,0.93024,0.3918,1,0.99956,0.99956
KRAS,-0.92984,0.39198,1,0.99956,0.99956
PCGF1,-0.9298,0.392,1,0.99956,0.99956
TRAFD1,-0.92974,0.39202,1,0.99956,0.99956
ATG10,0.92955,0.39211,1,0.99956,0.99956
ANKRD16,-0.92936,0.39219,1,0.99956,0.99956
VSTM4,0.92929,0.39222,1,0.99956,0.99956
FXYD5,-0.92909,0.39232,1,0.99956,0.99956
PRMT6,0.92893,0.39239,1,0.99956,0.99956
HMGCL,-0.9287,0.39249,1,0.99956,0.99956
FAM214B,-0.92849,0.39259,1,0.99956,0.99956
PEX5L,-0.92838,0.39263,1,0.99956,0.99956
H19,0.92773,0.39293,1,0.99956,0.99956
RFX1,0.92767,0.39295,1,0.99956,0.99956
NFU1,0.92733,0.3931,1,0.99956,0.99956
PTCH2,0.92679,0.39334,1,0.99956,0.99956
AK1,0.92661,0.39342,1,0.99956,0.99956
POP1,-0.92649,0.39348,1,0.99956,0.99956
POMP,-0.92646,0.39349,1,0.99956,0.99956
PCDHA4,0.92629,0.39356,1,0.99956,0.99956
LGALS8,-0.92571,0.39381,1,0.99956,0.99956
MAPK7,0.92546,0.39392,1,0.99956,0.99956
LOC392196,0.9253,0.39399,1,0.99956,0.99956
AZI2,0.92521,0.39403,1,0.99956,0.99956
PIR,0.92519,0.39405,1,0.99956,0.99956
NPIP,0.92491,0.39417,1,0.99956,0.99956
NELL1,0.92475,0.39425,1,0.99956,0.99956
AKT1S1,0.92461,0.39432,1,0.99956,0.99956
SMARCD2,-0.92403,0.3946,1,0.99956,0.99956
KEAP1,-0.92402,0.39461,1,0.99956,0.99956
AATF,-0.92382,0.39471,1,0.99956,0.99956
ABHD13,0.92363,0.3948,1,0.99956,0.99956
ZCCHC4,-0.92333,0.39495,1,0.99956,0.99956
FRMPD4,0.92324,0.39499,1,0.99956,0.99956
SPTLC1,-0.92319,0.39502,1,0.99956,0.99956
ENC1,0.92294,0.39514,1,0.99956,0.99956
ZNF800,-0.92273,0.39524,1,0.99956,0.99956
TBC1D30,0.9227,0.39526,1,0.99956,0.99956
BZW2,-0.92267,0.39527,1,0.99956,0.99956
CC2D2A,0.92238,0.39541,1,0.99956,0.99956
PRADC1,-0.92203,0.39558,1,0.99956,0.99956
MSRA,0.92203,0.39558,1,0.99956,0.99956
FAM46C,0.92195,0.39562,1,0.99956,0.99956
WDR5B,0.92185,0.39567,1,0.99956,0.99956
PGM1,0.9217,0.39575,1,0.99956,0.99956
KAT6A,0.9215,0.39584,1,0.99956,0.99956
PCGF6,0.92144,0.39587,1,0.99956,0.99956
CASP8AP2,-0.92141,0.39589,1,0.99956,0.99956
NDUFV1,-0.92139,0.39589,1,0.99956,0.99956
GLUL,0.92135,0.39592,1,0.99956,0.99956
ANXA4,-0.92128,0.39595,1,0.99956,0.99956
PPP1R7,0.92128,0.39595,1,0.99956,0.99956
UCP2,0.92097,0.3961,1,0.99956,0.99956
MRS2,0.92096,0.39611,1,0.99956,0.99956
BCAS4,0.92048,0.39634,1,0.99956,0.99956
AFF1,-0.92047,0.39634,1,0.99956,0.99956
NLK,0.92039,0.39638,1,0.99956,0.99956
MBTPS2,0.92037,0.39639,1,0.99956,0.99956
CENPO,-0.92027,0.39644,1,0.99956,0.99956
IL13RA1,-0.91977,0.39668,1,0.99956,0.99956
AKAP9,0.91974,0.39669,1,0.99956,0.99956
SLC25A40,0.91969,0.39671,1,0.99956,0.99956
PDIA2,0.91945,0.39683,1,0.99956,0.99956
SEC11A,-0.91927,0.39692,1,0.99956,0.99956
SREBF2,0.91897,0.39707,1,0.99956,0.99956
ZFPM1,0.9188,0.39715,1,0.99956,0.99956
MRPS22,0.9187,0.39721,1,0.99956,0.99956
NDUFB3,0.91864,0.39724,1,0.99956,0.99956
MSH5,-0.91857,0.39727,1,0.99956,0.99956
SLC39A11,-0.9185,0.39731,1,0.99956,0.99956
FAM183A,0.9182,0.39746,1,0.99956,0.99956
S100A13,-0.91806,0.39754,1,0.99956,0.99956
ACVR1,0.9178,0.39767,1,0.99956,0.99956
WDR60,0.9177,0.39773,1,0.99956,0.99956
MTHFD1L,-0.91756,0.3978,1,0.99956,0.99956
WDR96,0.91742,0.39787,1,0.99956,0.99956
CALM1,0.91719,0.39799,1,0.99956,0.99956
SETD9,0.91668,0.39823,1,0.99956,0.99956
TOMM22,-0.91651,0.39831,1,0.99956,0.99956
HIST1H4F,-0.91646,0.39834,1,0.99956,0.99956
GPR139,-0.9161,0.3985,1,0.99956,0.99956
NBPF11,0.91577,0.39865,1,0.99956,0.99956
MXRA7,-0.91573,0.39867,1,0.99956,0.99956
RGS22,0.91566,0.3987,1,0.99956,0.99956
SON,0.91535,0.39885,1,0.99956,0.99956
SERPINE2,-0.91501,0.39901,1,0.99956,0.99956
GPN2,-0.915,0.39901,1,0.99956,0.99956
CIT,-0.91476,0.39913,1,0.99956,0.99956
COG7,0.91474,0.39915,1,0.99956,0.99956
KCNQ3,-0.91421,0.39942,1,0.99956,0.99956
NBPF3,-0.91401,0.39953,1,0.99956,0.99956
METTL2B,0.91401,0.39953,1,0.99956,0.99956
TNFRSF25,-0.91398,0.39954,1,0.99956,0.99956
PHKG2,-0.91389,0.39959,1,0.99956,0.99956
KIF9,0.91381,0.39964,1,0.99956,0.99956
HECTD1,0.91358,0.39976,1,0.99956,0.99956
CREB3,0.91336,0.39987,1,0.99956,0.99956
SLC6A2,-0.91317,0.39997,1,0.99956,0.99956
FBXO25,0.91306,0.40003,1,0.99956,0.99956
PIK3C3,0.91306,0.40003,1,0.99956,0.99956
UBP1,0.91301,0.40006,1,0.99956,0.99956
CCDC148,0.91292,0.4001,1,0.99956,0.99956
GRASP,-0.91289,0.40012,1,0.99956,0.99956
SNAPIN,0.91285,0.40014,1,0.99956,0.99956
CHAC1,-0.91274,0.4002,1,0.99956,0.99956
ADAMTS1,-0.91251,0.40031,1,0.99956,0.99956
C11orf80,0.91246,0.40034,1,0.99956,0.99956
MID1,0.9124,0.40037,1,0.99956,0.99956
ILKAP,-0.91222,0.40046,1,0.99956,0.99956
HIST1H1D,0.91218,0.40048,1,0.99956,0.99956
TOX3,0.91186,0.40065,1,0.99956,0.99956
BTN3A1,-0.91154,0.40081,1,0.99956,0.99956
GADD45G,-0.91141,0.40087,1,0.99956,0.99956
HSPB11,-0.91137,0.40089,1,0.99956,0.99956
UBE2S,-0.91136,0.4009,1,0.99956,0.99956
AIFM2,-0.91087,0.40113,1,0.99956,0.99956
FHL1,0.91068,0.40122,1,0.99956,0.99956
ATF7IP,0.91036,0.40137,1,0.99956,0.99956
C9orf3,0.91018,0.40145,1,0.99956,0.99956
LOC344595,0.91004,0.40151,1,0.99956,0.99956
OXNAD1,0.90972,0.40165,1,0.99956,0.99956
HIVEP3,0.90956,0.40172,1,0.99956,0.99956
OTUD4,-0.90937,0.40181,1,0.99956,0.99956
GTF3C5,0.90923,0.40188,1,0.99956,0.99956
PCTP,0.9092,0.40189,1,0.99956,0.99956
C6orf108,0.90911,0.40193,1,0.99956,0.99956
APITD1,0.90903,0.40197,1,0.99956,0.99956
UFM1,-0.9081,0.40243,1,0.99956,0.99956
CCND1,-0.90779,0.40259,1,0.99956,0.99956
MRPL19,0.90755,0.40271,1,0.99956,0.99956
CBX3,-0.90719,0.40289,1,0.99956,0.99956
TTC39B,-0.90683,0.40307,1,0.99956,0.99956
HIST1H4E,-0.90659,0.40317,1,0.99956,0.99956
SERTM1,0.90638,0.40327,1,0.99956,0.99956
ACO2,0.90562,0.4036,1,0.99956,0.99956
LINC00094,0.90554,0.40364,1,0.99956,0.99956
ALDH1L2,-0.90524,0.40377,1,0.99956,0.99956
SPG11,0.90522,0.40378,1,0.99956,0.99956
CTDP1,0.90505,0.40386,1,0.99956,0.99956
NEBL,-0.90491,0.40392,1,0.99956,0.99956
RALGAPA2,0.90475,0.404,1,0.99956,0.99956
TIMP3,-0.90438,0.40418,1,0.99956,0.99956
KIAA0368,0.904,0.40437,1,0.99956,0.99956
LRRN1,0.90399,0.40437,1,0.99956,0.99956
TAF13,-0.90398,0.40438,1,0.99956,0.99956
LOC100506730,0.90394,0.4044,1,0.99956,0.99956
LOC100170939,0.90392,0.40441,1,0.99956,0.99956
OTUB2,0.90381,0.40446,1,0.99956,0.99956
LOC150776,-0.90356,0.40459,1,0.99956,0.99956
SEPN1,0.90353,0.4046,1,0.99956,0.99956
FAM222B,0.90353,0.4046,1,0.99956,0.99956
PRR4,-0.90348,0.40463,1,0.99956,0.99956
CYB5D1,0.90345,0.40464,1,0.99956,0.99956
CDK2AP1,0.90343,0.40465,1,0.99956,0.99956
RNF170,-0.90338,0.40468,1,0.99956,0.99956
B3GAT1,0.90324,0.40475,1,0.99956,0.99956
NAB1,0.90318,0.40478,1,0.99956,0.99956
TRPM7,-0.90281,0.40496,1,0.99956,0.99956
HIST1H4A,0.90269,0.40502,1,0.99956,0.99956
ZNF204P,0.90267,0.40504,1,0.99956,0.99956
C14orf79,0.90252,0.40511,1,0.99956,0.99956
MOGS,-0.90238,0.40518,1,0.99956,0.99956
RBM20,-0.90231,0.40521,1,0.99956,0.99956
KLHDC4,0.90214,0.4053,1,0.99956,0.99956
SORL1,0.90211,0.40531,1,0.99956,0.99956
CLCN4,0.90182,0.40546,1,0.99956,0.99956
GIPC2,0.90152,0.40562,1,0.99956,0.99956
AGL,0.90141,0.40567,1,0.99956,0.99956
URGCP,0.90134,0.40571,1,0.99956,0.99956
TUBB4B,0.9007,0.40602,1,0.99956,0.99956
TSC2,0.90044,0.40615,1,0.99956,0.99956
EFHD1,-0.9004,0.40617,1,0.99956,0.99956
MAGOHB,-0.9002,0.40627,1,0.99956,0.99956
MAPK10,0.90015,0.40629,1,0.99956,0.99956
NCKAP5L,-0.90008,0.40632,1,0.99956,0.99956
CPSF4,-0.90004,0.40634,1,0.99956,0.99956
RAD1,-0.8999,0.40641,1,0.99956,0.99956
MED18,-0.89959,0.40656,1,0.99956,0.99956
PARN,0.89951,0.4066,1,0.99956,0.99956
GSPT2,0.8995,0.4066,1,0.99956,0.99956
MDK,-0.89944,0.40663,1,0.99956,0.99956
TMEM189,-0.89943,0.40664,1,0.99956,0.99956
HIST2H2BC,0.89928,0.40671,1,0.99956,0.99956
LPIN2,0.8992,0.40675,1,0.99956,0.99956
ZNF429,-0.899,0.40685,1,0.99956,0.99956
C1orf53,0.8986,0.40704,1,0.99956,0.99956
EFHC1,0.89858,0.40705,1,0.99956,0.99956
PCDH10,0.89825,0.40721,1,0.99956,0.99956
TOX2,0.89818,0.40725,1,0.99956,0.99956
STRAP,-0.89769,0.40748,1,0.99956,0.99956
SPOCK3,-0.89766,0.4075,1,0.99956,0.99956
PPOX,-0.89723,0.40771,1,0.99956,0.99956
UG0898H09,0.89714,0.40775,1,0.99956,0.99956
ATP1B3,-0.897,0.40781,1,0.99956,0.99956
LOC100271836,0.89691,0.40785,1,0.99956,0.99956
MRPS17,-0.89691,0.40786,1,0.99956,0.99956
AFF3,0.89676,0.40792,1,0.99956,0.99956
CEP164,-0.89648,0.40805,1,0.99956,0.99956
DAZAP2,0.8958,0.40836,1,0.99956,0.99956
DLL3,-0.89575,0.40839,1,0.99956,0.99956
QRSL1,-0.89564,0.40843,1,0.99956,0.99956
SPEF1,0.89556,0.40847,1,0.99956,0.99956
CCDC104,0.89556,0.40847,1,0.99956,0.99956
PEX26,-0.89519,0.40864,1,0.99956,0.99956
TMEM150A,0.89493,0.40876,1,0.99956,0.99956
NOL12,-0.89468,0.40888,1,0.99956,0.99956
ZNF17,-0.89453,0.40896,1,0.99956,0.99956
ASCC3,-0.89416,0.40914,1,0.99956,0.99956
NDUFAF3,0.89395,0.40924,1,0.99956,0.99956
GRINA,0.89339,0.40951,1,0.99956,0.99956
YME1L1,0.89329,0.40956,1,0.99956,0.99956
FANK1,0.89305,0.40967,1,0.99956,0.99956
WDR43,-0.89298,0.40971,1,0.99956,0.99956
KIAA0922,0.89263,0.40987,1,0.99956,0.99956
SP4,0.8924,0.40998,1,0.99956,0.99956
ZNF207,0.89215,0.41009,1,0.99956,0.99956
RNF11,-0.8921,0.41011,1,0.99956,0.99956
KIAA1671,0.89201,0.41015,1,0.99956,0.99956
PPL,0.89197,0.41017,1,0.99956,0.99956
ANKRD5,0.89196,0.41018,1,0.99956,0.99956
TEAD4,-0.89187,0.41022,1,0.99956,0.99956
ALKBH8,-0.89168,0.41031,1,0.99956,0.99956
TFPI,-0.89164,0.41032,1,0.99956,0.99956
DZIP1L,0.89143,0.41042,1,0.99956,0.99956
ANAPC7,-0.89141,0.41043,1,0.99956,0.99956
WDR44,0.89107,0.41059,1,0.99956,0.99956
BEND5,0.89102,0.41061,1,0.99956,0.99956
PTGIS,0.89098,0.41063,1,0.99956,0.99956
PLIN2,-0.89084,0.41069,1,0.99956,0.99956
FBLL1,0.89072,0.41075,1,0.99956,0.99956
PRKAG1,0.89063,0.41079,1,0.99956,0.99956
AMD1,-0.89063,0.4108,1,0.99956,0.99956
RABEP1,-0.89041,0.4109,1,0.99956,0.99956
CARD8,0.89031,0.41094,1,0.99956,0.99956
AKTIP,0.89017,0.41101,1,0.99956,0.99956
FASTKD1,-0.89009,0.41105,1,0.99956,0.99956
PLK4,0.88993,0.41112,1,0.99956,0.99956
CENPQ,-0.88986,0.41116,1,0.99956,0.99956
ACTR6,0.88943,0.41136,1,0.99956,0.99956
RAB1B,0.88937,0.41139,1,0.99956,0.99956
ZNF384,0.88863,0.41173,1,0.99956,0.99956
SLC2A1,-0.88839,0.41184,1,0.99956,0.99956
NFS1,-0.88797,0.41204,1,0.99956,0.99956
JMJD8,0.88771,0.41216,1,0.99956,0.99956
NUFIP1,-0.88747,0.41227,1,0.99956,0.99956
CDC26,0.8874,0.4123,1,0.99956,0.99956
TPST2,-0.88738,0.41231,1,0.99956,0.99956
MINPP1,0.88731,0.41235,1,0.99956,0.99956
HSPA9,-0.8873,0.41235,1,0.99956,0.99956
COQ10A,0.8872,0.4124,1,0.99956,0.99956
LAMTOR5,0.88692,0.41254,1,0.99956,0.99956
DIRAS2,-0.88671,0.41265,1,0.99956,0.99956
PDE4A,-0.88667,0.41267,1,0.99956,0.99956
ARL16,0.88665,0.41268,1,0.99956,0.99956
CNIH,-0.88663,0.41269,1,0.99956,0.99956
MRPL36,-0.88574,0.41317,1,0.99956,0.99956
STPG2,0.88572,0.41318,1,0.99956,0.99956
PLCE1,-0.88498,0.41357,1,0.99956,0.99956
LAMP3,-0.88475,0.41369,1,0.99956,0.99956
PIKFYVE,-0.88472,0.41371,1,0.99956,0.99956
CCDC59,-0.88461,0.41377,1,0.99956,0.99956
FAM125B,0.88452,0.41382,1,0.99956,0.99956
HNRNPUL1,0.88396,0.41412,1,0.99956,0.99956
RRM2,0.88374,0.41423,1,0.99956,0.99956
CALR,0.88363,0.41429,1,0.99956,0.99956
TPM2,-0.8836,0.41431,1,0.99956,0.99956
C16orf55,0.88356,0.41433,1,0.99956,0.99956
RSRC1,0.88353,0.41435,1,0.99956,0.99956
PDCD6,-0.88351,0.41436,1,0.99956,0.99956
PIGF,-0.8835,0.41436,1,0.99956,0.99956
AHDC1,0.88344,0.41439,1,0.99956,0.99956
ELOVL1,-0.8834,0.41441,1,0.99956,0.99956
VDAC3,0.88312,0.41455,1,0.99956,0.99956
BPNT1,-0.883,0.41461,1,0.99956,0.99956
TENM2,0.88285,0.41468,1,0.99956,0.99956
PRKAA1,-0.8826,0.4148,1,0.99956,0.99956
BAIAP2,0.88234,0.41492,1,0.99956,0.99956
FAM199X,-0.8819,0.41511,1,0.99956,0.99956
GPR63,0.8819,0.41511,1,0.99956,0.99956
ALKBH2,-0.88156,0.41526,1,0.99956,0.99956
EXOC3,-0.88122,0.41542,1,0.99956,0.99956
TMED7,0.88107,0.41549,1,0.99956,0.99956
KCNJ8,-0.88088,0.41558,1,0.99956,0.99956
ZNF443,0.88078,0.41563,1,0.99956,0.99956
CDK5RAP1,0.88045,0.41579,1,0.99956,0.99956
YRDC,-0.88015,0.41595,1,0.99956,0.99956
RMI2,0.88001,0.41602,1,0.99956,0.99956
ZNF567,-0.87996,0.41605,1,0.99956,0.99956
RNF6,-0.87963,0.41623,1,0.99956,0.99956
ZEB2,0.87932,0.41639,1,0.99956,0.99956
GPD2,0.87926,0.41642,1,0.99956,0.99956
SP2,0.87899,0.41657,1,0.99956,0.99956
SNORA57,-0.87892,0.4166,1,0.99956,0.99956
PRR14L,0.87853,0.41679,1,0.99956,0.99956
ZNF549,-0.87852,0.4168,1,0.99956,0.99956
TMEM86A,0.87838,0.41687,1,0.99956,0.99956
METTL1,-0.8783,0.41691,1,0.99956,0.99956
PSMA4,-0.87808,0.41702,1,0.99956,0.99956
IFT172,0.87801,0.41705,1,0.99956,0.99956
CTDNEP1,0.87769,0.41722,1,0.99956,0.99956
NPM3,-0.87764,0.41724,1,0.99956,0.99956
EDA,0.87749,0.41731,1,0.99956,0.99956
FAM200B,0.87682,0.41765,1,0.99956,0.99956
PTENP1,0.87679,0.41766,1,0.99956,0.99956
LRRC8E,-0.87674,0.41769,1,0.99956,0.99956
OXA1L,0.87671,0.41771,1,0.99956,0.99956
LOC399744,0.87635,0.41788,1,0.99956,0.99956
SHQ1,0.87613,0.41799,1,0.99956,0.99956
CXorf38,-0.87605,0.41803,1,0.99956,0.99956
SAV1,0.8756,0.41825,1,0.99956,0.99956
FOXO3,0.87557,0.41827,1,0.99956,0.99956
DNAJC21,-0.87537,0.41837,1,0.99956,0.99956
MNT,0.87521,0.41845,1,0.99956,0.99956
MIEN1,-0.87495,0.41857,1,0.99956,0.99956
MICU1,0.87459,0.41875,1,0.99956,0.99956
GDPD1,-0.87443,0.41883,1,0.99956,0.99956
GRAMD1A,0.87435,0.41887,1,0.99956,0.99956
ANO5,-0.87392,0.41907,1,0.99956,0.99956
SNORA2B,-0.87374,0.41916,1,0.99956,0.99956
CDHR3,0.87373,0.41916,1,0.99956,0.99956
CYLD,0.87334,0.41935,1,0.99956,0.99956
NAPA,0.87334,0.41935,1,0.99956,0.99956
VPS4A,-0.87326,0.41939,1,0.99956,0.99956
ADA,-0.87311,0.41947,1,0.99956,0.99956
MSL2,0.87293,0.41956,1,0.99956,0.99956
KIAA1009,0.87267,0.41969,1,0.99956,0.99956
CCDC40,0.87258,0.41974,1,0.99956,0.99956
TOM1L1,-0.8725,0.41978,1,0.99956,0.99956
NME3,0.87248,0.41979,1,0.99956,0.99956
HMGCS1,0.87218,0.41995,1,0.99956,0.99956
NOS1AP,0.87218,0.41995,1,0.99956,0.99956
TPRG1L,-0.87198,0.42006,1,0.99956,0.99956
NUDT3,0.87188,0.42011,1,0.99956,0.99956
C5orf46,-0.87184,0.42014,1,0.99956,0.99956
XRN1,0.87166,0.42023,1,0.99956,0.99956
PIRT,-0.87084,0.42067,1,0.99956,0.99956
DNAJB5,-0.87047,0.42087,1,0.99956,0.99956
MYEF2,0.86982,0.42122,1,0.99956,0.99956
RAD23B,0.86971,0.42128,1,0.99956,0.99956
TM7SF3,-0.86948,0.4214,1,0.99956,0.99956
EIF2A,-0.8693,0.42149,1,0.99956,0.99956
PTPN6,-0.86904,0.42163,1,0.99956,0.99956
PRPF6,0.86877,0.42177,1,0.99956,0.99956
RPN2,0.86871,0.4218,1,0.99956,0.99956
LPPR3,0.86848,0.42192,1,0.99956,0.99956
DCTN3,0.86844,0.42194,1,0.99956,0.99956
PSMA5,-0.86771,0.4223,1,0.99956,0.99956
PSMC5,0.86767,0.42233,1,0.99956,0.99956
CORIN,0.86764,0.42234,1,0.99956,0.99956
EAF1,-0.86763,0.42234,1,0.99956,0.99956
TRIM41,0.86744,0.42244,1,0.99956,0.99956
ELAVL2,0.86729,0.42252,1,0.99956,0.99956
GK,0.86692,0.42271,1,0.99956,0.99956
DNAJB12,0.8669,0.42272,1,0.99956,0.99956
AKIP1,-0.86635,0.42302,1,0.99956,0.99956
CHCHD10,-0.86623,0.42309,1,0.99956,0.99956
ECH1,0.86613,0.42314,1,0.99956,0.99956
DISC1,0.86577,0.42335,1,0.99956,0.99956
ALCAM,0.8657,0.42338,1,0.99956,0.99956
ATRIP,-0.86569,0.42339,1,0.99956,0.99956
HSF2BP,-0.86555,0.42347,1,0.99956,0.99956
AQP1,-0.86535,0.42357,1,0.99956,0.99956
ITGA5,-0.8653,0.4236,1,0.99956,0.99956
CHD1L,-0.86525,0.42363,1,0.99956,0.99956
UQCRC2,0.86519,0.42366,1,0.99956,0.99956
SPTBN1,0.8651,0.4237,1,0.99956,0.99956
LIN7C,0.86507,0.42372,1,0.99956,0.99956
CDCA8,-0.86494,0.42378,1,0.99956,0.99956
MCM10,0.86482,0.42384,1,0.99956,0.99956
TACC2,-0.86418,0.42415,1,0.99956,0.99956
CBWD6,-0.86414,0.42416,1,0.99956,0.99956
SBK1,0.86412,0.42417,1,0.99956,0.99956
PBX2,0.86406,0.4242,1,0.99956,0.99956
ACOX1,0.86365,0.42439,1,0.99956,0.99956
TMED8,0.86365,0.42439,1,0.99956,0.99956
DCLK2,0.86312,0.42463,1,0.99956,0.99956
SEC16A,0.86307,0.42466,1,0.99956,0.99956
ZNF528,0.86289,0.42474,1,0.99956,0.99956
PCCA,0.86281,0.42478,1,0.99956,0.99956
DECR1,0.86277,0.4248,1,0.99956,0.99956
PLP2,-0.86276,0.4248,1,0.99956,0.99956
DACT2,0.86233,0.42501,1,0.99956,0.99956
CD274,-0.86228,0.42504,1,0.99956,0.99956
NOLC1,-0.86224,0.42506,1,0.99956,0.99956
PAPOLG,0.86217,0.42509,1,0.99956,0.99956
INTS12,-0.86195,0.4252,1,0.99956,0.99956
DNAAF3,0.86167,0.42534,1,0.99956,0.99956
ALDH16A1,0.86167,0.42534,1,0.99956,0.99956
CHRD,0.86145,0.42545,1,0.99956,0.99956
TACC1,0.86123,0.42555,1,0.99956,0.99956
RPP21,-0.86105,0.42564,1,0.99956,0.99956
AGFG2,-0.86078,0.42577,1,0.99956,0.99956
PDK4,0.86072,0.4258,1,0.99956,0.99956
LMTK2,0.8606,0.42586,1,0.99956,0.99956
ATP1A3,0.86044,0.42593,1,0.99956,0.99956
FAM98B,0.86025,0.42602,1,0.99956,0.99956
MAP1A,0.86009,0.42609,1,0.99956,0.99956
SOX12,0.86002,0.42613,1,0.99956,0.99956
BCLAF1,0.85999,0.42614,1,0.99956,0.99956
KCNMA1,0.85996,0.42616,1,0.99956,0.99956
WDR82,0.85983,0.42622,1,0.99956,0.99956
SNORA84,-0.85979,0.42624,1,0.99956,0.99956
RYBP,0.85976,0.42625,1,0.99956,0.99956
CLSTN2,0.85973,0.42626,1,0.99956,0.99956
LUC7L2,0.85948,0.42638,1,0.99956,0.99956
CCDC23,0.8592,0.42651,1,0.99956,0.99956
TMEM237,-0.85914,0.42654,1,0.99956,0.99956
ETV1,0.85849,0.42684,1,0.99956,0.99956
C1orf50,0.85844,0.42686,1,0.99956,0.99956
NFIB,-0.85831,0.42692,1,0.99956,0.99956
GAN,0.8582,0.42697,1,0.99956,0.99956
MEGF10,0.85817,0.42698,1,0.99956,0.99956
UTRN,0.85801,0.42706,1,0.99956,0.99956
IRAK1,0.85761,0.42724,1,0.99956,0.99956
HSPA8,0.85745,0.42732,1,0.99956,0.99956
FAHD2B,-0.85732,0.42738,1,0.99956,0.99956
AURKA,0.85717,0.42745,1,0.99956,0.99956
GK5,0.85713,0.42747,1,0.99956,0.99956
AP1B1,0.85656,0.42777,1,0.99956,0.99956
CCDC74B,-0.85654,0.42778,1,0.99956,0.99956
PDK2,0.85574,0.42824,1,0.99956,0.99956
TRRAP,0.85555,0.42834,1,0.99956,0.99956
EMP2,-0.85551,0.42837,1,0.99956,0.99956
PLEKHA5,0.85542,0.42842,1,0.99956,0.99956
PTK2,0.85539,0.42843,1,0.99956,0.99956
UBE2V2,-0.85483,0.42874,1,0.99956,0.99956
IRS2,-0.85482,0.42875,1,0.99956,0.99956
ZSCAN21,-0.85477,0.42877,1,0.99956,0.99956
BCL2L2,-0.85447,0.42894,1,0.99956,0.99956
RARB,-0.85435,0.429,1,0.99956,0.99956
MACF1,0.8542,0.42908,1,0.99956,0.99956
ZNF765,-0.85419,0.42908,1,0.99956,0.99956
NOP14,0.85416,0.4291,1,0.99956,0.99956
UBXN4,0.85408,0.42914,1,0.99956,0.99956
SPAG7,0.85391,0.42923,1,0.99956,0.99956
MYO5C,0.85344,0.42947,1,0.99956,0.99956
C1orf226,0.85323,0.42958,1,0.99956,0.99956
MTA3,-0.85294,0.42973,1,0.99956,0.99956
IFNAR2,-0.85273,0.42984,1,0.99956,0.99956
UBE3B,0.85263,0.42988,1,0.99956,0.99956
PHF14,0.85247,0.42996,1,0.99956,0.99956
HDGFRP3,-0.85201,0.43018,1,0.99956,0.99956
TMEM131,0.85196,0.4302,1,0.99956,0.99956
CBFB,-0.8519,0.43023,1,0.99956,0.99956
RAPGEF6,0.85182,0.43028,1,0.99956,0.99956
NENF,0.85174,0.43031,1,0.99956,0.99956
SKI,0.85148,0.43044,1,0.99956,0.99956
LMO4,0.85145,0.43045,1,0.99956,0.99956
XRCC4,-0.85131,0.43052,1,0.99956,0.99956
HDAC11,0.85127,0.43054,1,0.99956,0.99956
PALMD,-0.85126,0.43055,1,0.99956,0.99956
ORAOV1,0.85117,0.43059,1,0.99956,0.99956
ZNF826P,0.85112,0.43062,1,0.99956,0.99956
SLC25A15,-0.85108,0.43064,1,0.99956,0.99956
FAM76B,0.85108,0.43064,1,0.99956,0.99956
FECH,-0.85094,0.43072,1,0.99956,0.99956
PAQR7,-0.85073,0.43083,1,0.99956,0.99956
CSK,0.85062,0.43089,1,0.99956,0.99956
CST3,0.85052,0.43094,1,0.99956,0.99956
C1QL1,-0.85049,0.43096,1,0.99956,0.99956
RECK,0.85026,0.43109,1,0.99956,0.99956
CAND1,0.85014,0.43116,1,0.99956,0.99956
SNF8,0.85013,0.43116,1,0.99956,0.99956
MST1,0.85002,0.43123,1,0.99956,0.99956
WDR78,0.84991,0.43129,1,0.99956,0.99956
PCID2,-0.84991,0.43129,1,0.99956,0.99956
RAE1,-0.84991,0.43129,1,0.99956,0.99956
POGLUT1,-0.84975,0.43138,1,0.99956,0.99956
P4HA1,0.84975,0.43138,1,0.99956,0.99956
COPG1,0.84968,0.43142,1,0.99956,0.99956
VPS25,-0.84962,0.43146,1,0.99956,0.99956
ZNF256,-0.8496,0.43147,1,0.99956,0.99956
ABCD3,0.8496,0.43147,1,0.99956,0.99956
FAM166B,0.84958,0.43148,1,0.99956,0.99956
PDCD7,-0.84949,0.43153,1,0.99956,0.99956
NFASC,0.84937,0.4316,1,0.99956,0.99956
TMEM126A,0.84936,0.43161,1,0.99956,0.99956
SLC44A1,0.84917,0.43171,1,0.99956,0.99956
ASAP2,0.84917,0.43171,1,0.99956,0.99956
SLC26A6,-0.84911,0.43175,1,0.99956,0.99956
NBR2,0.84894,0.43184,1,0.99956,0.99956
SYNM,0.84889,0.43187,1,0.99956,0.99956
PRMT5,-0.84884,0.4319,1,0.99956,0.99956
NRIP3,0.84882,0.4319,1,0.99956,0.99956
PRKDC,0.8488,0.43191,1,0.99956,0.99956
NR2F6,0.84878,0.43192,1,0.99956,0.99956
C5orf30,-0.84864,0.432,1,0.99956,0.99956
